Bit Range,Bit Value,Number of Bits,Field Name,Field Value
1-20,'00000000000011100110,20,Type Approval Certificate #:,230
21-30,'1000111101,10,Serial Number:,573
31-40,'0011001001,10,Country code:,201 Albania
41,'1,1,Status of homing device:,"Beacon is equipped with at least one homing signal. If beacon has been activated, at least one homing device is functional and transmitting"
42,'0,1,Self-test function:,Self-test transmission
43,'0,1,User cancellation:,Normal beacon operation (transmitting a distress or self-test message)
44-66,'00110000110010110000110,23,Latitude:,48.79315 N
67-90,'001000101000000100011111,24,Longitude:,69.00876 E
91-93,'000,3,Vessel ID:,No aircraft or maritime identity
94-137,'00000000000000000000000000000000000000000000,44,Spare:,All 0 - OK
138-154,'11111111111111111,17,Spare:,OK
155-158 (Rotating field 1-4),'0000,4,Rotating Field Type:,(#0) C/S G.008 Objective Requirements
159-164 (Rotating field 5-10),'000001,6,Elapsed time since activation:,1 hours
165-175 (Rotating field 11-21),'00000000110,11,Time from last encoded location:,6 minutes
176-185 (Rotating field 22-31),'0000110100,10,Altitude of encoded location: ,432 m
186-189 (Rotating field 32-34),'0000,4,HDOP:,DOP <=1
190-193 (Rotating field 35-39),'0001,4,VDOP:,DOP >1 and <=2
194-194 (Rotating field 40-41),'00,2,Automated/manual activation notification,Manual activation by user
196-198 (Rotating field 42-44),'101,3,Remaining battery capacity,>75% and <=100% remaining
199-200 (Rotating field 45-46),'10,2,GNSS status,3D location
201-202 (Rotating field 47-48),'00,2,Spare,OK
,',0,Beacon 23 Hex ID:,99340039A3D000000000001
203-204,'00,2,To make length 204,
205-252,'101010110000011010101010101010010101111010111001,48,BCH,
,',0,Beacon message:,000E68F4C986196188A047C000000000007FFFC0100C1A00960AB06AAA95EB9
