Bit Range,Bit Value,Number of Bits,Field Name,Field Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1-20,00000000000011100110,20,Type Approval Certificate #:,230,,,,11100110,,,TRUE,,,,,,,11100110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21-30,1000111101,10,Serial Number:,573,,,,,,,,,,,,,,1000111101,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
31-40,'0011001001,10,Country code:,201 Albania,,,,,,,,,,,,,,11001001,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
41,'1,1,Status of homing device:,"Beacon is equipped with at least one homing signal. If beacon has been activated, at least one homing device is functional and transmitting",,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
42,'0,1,Self-test function:,Self-test transmission,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
43,'0,1,User cancellation:,Normal beacon operation (transmitting a distress or self-test message),,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
44-66,'00110000110010110000110,23,Latitude:,48.79315 N,,,,,,,,,,,,,,1.1E+20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
67-90,'001000101000000100011111,24,Longitude:,69.00876 E,,,,,,,,,,,,,,1.0001E+21,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
91-93,'000,3,Vessel ID:,No aircraft or maritime identity,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
94-137,0,44,Spare:,All 0 - OK,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
138-154,'11111111111111111,17,Spare:,OK,,,,,,,,,,,,,,1.11111E+16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
155-158 (Rotating field 1-4),'0000,4,Rotating Field Type:,(#0) C/S G.008 Objective Requirements,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
159-164 (Rotating field 5-10),'000001,6,Elapsed time since activation:,1 hours,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
165-175 (Rotating field 11-21),'00000000110,11,Time from last encoded location:,6 minutes,,,,,,,,,,,,,,110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
176-185 (Rotating field 22-31),11011,10,Altitude of encoded location: ,432 m,,,,,,,,,,,,,,110100,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
186-189 (Rotating field 32-34),'0000,4,HDOP:,DOP <=1,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
190-193 (Rotating field 35-39),1,4,VDOP:,DOP <=2,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
194-195 (Rotating field 40-41),'00,2,Automated/manual activation notification,Manual activation by user,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
196-198 (Rotating field 42-44),101,3,Remaining battery capacity,>75%,,,,,,,,,,,,,,101,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
199-200 (Rotating field 45-46),'10,2,GNSS status,3D location,,,,,,,,,,,,,,10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
201-202 (Rotating field 47-48),'00,2,Spare,OK,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,',0,Beacon 23 Hex ID:,99340039A3D000000000001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,',0,Number of BCH errors:,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
203-250,'110111111110010011000101000010100001111101001111,48,BCH,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,',0,Beacon message:,00039A3D32618658622811F000000000001FFFF004030660078DFE4C50A1F4F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Bit,000000000000111001101000111101'0011001001'1'0'0'00110000110010110000110'001000101000000100011111'00000000000000000000000000000000000000000000000'11111111111111111'0000'000001'000000001100000011011'00000001'00101'10'00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Above ,1.11E+189,,,,,,,,,,,,,,,,,,,,,202,,,
BCH,1.00011E+47,,,,,,,,,,,,,,,,,,,,,,,,
23 Bit UIN,1.0011E+91,,,,,,,,,,,,,,,,,,,,,,,,
,99340039A3D000000000001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
T018,1.11E+189,,,,,,,,,,,,,,,,,,,,FALSE,202,,,
BCH,1.0101E+47,,,,,,,,,,,,,,,,,,,,,,,,
23 Bit UIN,1.0011E+91,,,,,,,,,,,,,,,,,,,,,,,,
,99340039A3D000000000001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.11E+189,,,,,,,,,,,,,,,,,,,,,,,202
,1.11001E+19,1.11E+189,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1001E+31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0001E+31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1.11111E+22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1E+28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1001011000,,,,,,,,,,,,,,,,,,,,,,,,
